LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C19078229,MX74610T,Wuxi Maxinmicro,,SOT-23-6L,SOT-23-6L ORing Controllers ROHS,YES,10,0.3858,3.86,,,-
C5120872,CKCS4020-10uH/M,CENKER,,"SMD,4x4mm","900mA 10uH ±20% Magnetic Shielded Inductor 1.6A SMD,4x4mm Power Inductors ROHS",YES,20,0.0444,0.89,,,-
C25764,0402WGF2003TCE,UNI-ROYAL,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 200kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,200,0.0006,0.12,,,-
C60491,RC0402FR-07100KL,YAGEO,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,200,0.0006,0.12,,,-
C25900,0402WGF4701TCE,UNI-ROYAL,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,200,0.0006,0.12,,,-
C60490,RC0402FR-0710KL,YAGEO,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,300,0.0006,0.18,,,-
C106235,RC0402FR-071KL,YAGEO,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,300,0.0006,0.18,,,-
C138033,RC0402FR-071ML,YAGEO,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0007,0.07,,,-
C220851,MCP9600-E/MX,MICROCHIP,,QFN-20-EP(5x5),2.7V~5.5V 18 I2C QFN-20-EP(5x5) ADCs/DACs - Special Purpose ROHS,YES,1,10.8821,10.88,,,-
C3664478,BME688,Bosch,,SMD-8P,SMD-8P Temperature and Humidity Sensor ROHS,YES,1,9.1251,9.13,,,-
C18623826,HYG-8503A-5027,HYDZ,,SMD,85dB 2.731kHz SMD Buzzers ROHS,YES,10,0.1851,1.85,,,-
C427602,ME6217C33M5G,MICRONE,,SOT-23-5,"65dB@(1kHz) 800mA Fixed 3.3V Positive 6.5V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,10,0.0734,0.73,,,-
C118474,MAX31865ATP+T,MAXIM,,QFN-20-EP(5x5),15 3V~3.6V SPI QFN-20-EP(5x5) Analog to Digital Converters (ADC) ROHS,YES,1,3.4235,3.42,,,-
C22451418,PCF8563MDTR(XBLW),XBLW,,MSOP-8,I2C MSOP-8 Real Time Clocks ROHS,YES,10,0.2634,2.63,,,-
C5354981,FDD6685(UMW),UMW,,TO-252,30V 40A 52W 1.8V@250uA TO-252 MOSFETs ROHS,YES,10,0.1013,1.01,,,-
C369599,30N06,UMW,,TO-252,60V 30A 23mΩ@10V 55W 1.6V@250uA 1 N-Channel TO-252 MOSFETs ROHS,YES,10,0.1183,1.18,,,-
C49851,INA226AIDGSR,TI,,MSOP-10,300mV~40V MSOP-10 Current Sense Amplifiers ROHS,YES,5,0.6212,3.11,,,-
C5674,CL21A226MQQNNNE,Samsung Electro-Mechanics,,0805,6.3V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,0.0109,0.55,,,-
C12494,"74AHCT1G125GV,125",Nexperia,,SOT-753,"1 8mA 4.5V~5.5V 8mA 1 SOT-753 Buffers, Drivers, Receivers, Transceivers ROHS",YES,10,0.0821,0.82,,,-
C41421753,LCKFB-LJPI-FPGA-G1,LCSC-boards,,-,Development Boards & Kits ROHS,YES,3,27.3525,82.06,,,-
