LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C138033,RC0402FR-071ML,YAGEO,,0402,62.5mW 1MΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0007,0.07,,,-
C220851,MCP9600-E/MX,MICROCHIP,,QFN-20-EP(5x5),-40℃~+125℃ 18 100kHz 2.7V~5.5V I2C QFN-20-EP(5x5) Sensor and Detector Interfaces RoHS,YES,1,10.8821,10.88,,,-
C3664478,BME688,Bosch,,SMD-8P,±3%RH 0%RH~100%RH SMD-8P Specialized Sensors RoHS,YES,1,9.1251,9.13,,,-
C18623826,HYG-8503A-5027,HYDZ,,SMD,"85dB 2.731kHz 5V SMD Alarms, Buzzers, and Sirens RoHS",YES,10,0.1851,1.85,,,-
C427602,ME6217C33M5G,MICRONE,,SOT-23-5,"65dB@(1kHz) Positive Fixed 3.3V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,10,0.0734,0.73,,,-
C118474,MAX31865ATP+T,MAXIM,,QFN-20-EP(5x5),15 3V~3.6V 1 SPI QFN-20-EP(5x5) Thermal Management RoHS,YES,1,3.4235,3.42,,,-
C22451418,PCF8563MDTR(XBLW),XBLW,,MSOP-8,I2C Yes MSOP-8 Real Time Clocks RoHS,YES,10,0.2634,2.63,,,-
C5354981,FDD6685(UMW),UMW,,TO-252,"30V 40A 52W TO-252 Single FETs, MOSFETs RoHS",YES,10,0.1013,1.01,,,-
C369599,30N06,UMW,,TO-252,"60V 30A 55W 1 N-Channel TO-252 Single FETs, MOSFETs RoHS",YES,10,0.1183,1.18,,,-
C49851,INA226AIDGSR,TI,,MSOP-10,300mV~40V 2.5uV 10nA MSOP-10 Current Regulation/Management RoHS,YES,5,0.6212,3.11,,,-
C5674,CL21A226MQQNNNE,Samsung Electro-Mechanics,,0805,6.3V 22uF X5R ±20% 0805 Ceramic Capacitors RoHS,YES,50,0.0109,0.55,,,-
C12494,"74AHCT1G125GV,125",Nexperia,,SOT-753,"1 40uA 4.5V~5.5V 1 4.8ns@4.5V,50pF SOT-753 Buffers, Drivers, Receivers, Transceivers RoHS",YES,10,0.0821,0.82,,,-
C41421753,LCKFB-LJPI-FPGA-G1,LCSC-boards,,-,"Embedded MCU, DSP Evaluation Boards RoHS",YES,3,27.3525,82.06,,,-
