LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C96123,CL31A476MPHNNNE,Samsung Electro-Mechanics,,1206,10V 47uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,30,0.0721,2.16,,,-
C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,,0805,25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,0.0092,0.46,,,-
C239517,A1002WV-S-8P,CJT(Changjiang Connectors),,"SMD,P=1mm","1x8P 8P SH 1 1mm 8 Phosphor Bronze SMD,P=1mm Wire To Board Connector ROHS",YES,15,0.3569,5.35,,,-
C8678,SS34,MDD(Microdiode Semiconductor),,SMA(DO-214AC),40V Independent 3A 550mV@3A SMA(DO-214AC) Schottky Diodes ROHS,YES,20,0.0244,0.49,,,-
C2687116,USBLC6-2SC6,"UMW(Youtai Semiconductor Co., Ltd.)",,SOT-23-6,15V 6V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,YES,20,0.037,0.74,,,-
C910820,BSMD0603-035-16V,BHFUSE,,0603,16V 350mA 40A 750mA 0603 Resettable Fuses ROHS,YES,10,0.0661,0.66,,,-
C2849537,PNLS6045-100M 10UH,DMBJ,,"SMD,6x6mm","4.5A 10uH Magnetic Shielded Inductor ±20% SMD,6x6mm Power Inductors ROHS",YES,10,0.0657,0.66,,,-
C62892,UMH3N,"Jiangsu Changjing Electronics Technology Co., Ltd.",,SOT-363,"100@1mA,5V 150mW 100mA 50V SOT-363 Digital Transistors ROHS",YES,10,0.0477,0.48,,,-
C705024,AF0402FR-071K96L,YAGEO,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1.96kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0036,0.36,,,-
C327339,RC0402FR-0751K1L,YAGEO,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 51.1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0004,0.04,,,-
C481923,CRCW040210K2FKED,Vishay Intertech,,0402,63mW Thick Film Resistor 50V ±1% ±100ppm/℃ 10.2kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,50,0.0107,0.54,,,-
C25905,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0005,0.05,,,-
C26083,0402WGF1004TCE,UNI-ROYAL(Uniroyal Elec),,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,,,-
C23139,0603WAF3323T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 332kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.0011,0.11,,,-
C86534,XC6220B331MR-G,Torex Semicon,,SOT-25,"50dB@(1kHz) 1A Fixed 3.3V Positive 6V SOT-25 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,10,0.3197,3.20,,,-
C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,,SMD,"3A 1 Surface Mount, Right Angle 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS",YES,20,0.0588,1.18,,,-
C969151,CP2102N-A02-GQFN24R,SKYWORKS/SILICON LABS,,QFN-24-EP(4x4),USB to UART USB 2.0 QFN-24-EP(4x4) USB Converters ROHS,YES,2,2.1502,4.30,,,-
C140782,GRM188R60J476ME15D,Murata Electronics,,0603,6.3V 47uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,0.0549,2.75,,,-
C82544,1N5819HW-7-F,Diodes Incorporated,,SOD-123,40V 1 Independent 450mV@1A 1A SOD-123 Schottky Diodes ROHS,YES,60,0.0304,1.82,,,-
C137780,RC0603FR-071K1L,YAGEO,,0603,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 1.1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.0013,0.13,,,-
C111027,0603WAF100LT5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistor 75V ±800ppm/℃ ±1% 100mΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.0037,0.37,,,-
C269679,RMC04024K7JN,TyoHM,,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±5% 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0019,0.19,,,-
C719176,TC33X-2-103E,BOURNS,,"SMD-3P,3.8x3.6mm","±25% ±250ppm/℃ 150mW 10kΩ SMD-3P,3.8x3.6mm Potentiometers, Variable Resistors ROHS",YES,20,0.1182,2.36,,,-
C18164398,DW01A,HL,,SOT23-6,1.5V~10V Lithium-ion/Polymer 1 SOT23-6 Battery Management ROHS,YES,20,0.0196,0.39,,,-
C2830320,FS8205A,TECH PUBLIC,,SOT-23-6,20V 9A 31.5mΩ@2.5V 1.5W 1.2V@250uA SOT-23-6 MOSFETs ROHS,YES,20,0.0451,0.90,,,-
